EHTOKOODI;EHTO;EHTOR
E126;Diagnosointi ja kasvuhormonihoidon aloittaminen ja seuranta tulee tapahtua asiaan riittävästi perehtyneen lääkärin valvonnassa.;Diagnos och övervakning av somatropinbehandling skall påbörjas och kontrolleras av läkare med lämplig erfarenhet.
E316;Hoidon ja sen aloittamisen tulee tapahtua onkologiaan tai hematologiaan perehtyneen lääkärin valvonnassa.;Behandling ska inledas och ske under överinseende av läkare med erfarenhet av onkologi eller hematologi.
E128;Valmistetta saadaan käyttää puberteetin estohoitoon vain lastenendokrinologin valvonnassa.;Preparatet får användas för att hämma pubertet endast under tillsyn av barnendokrinolog.
E129;Hoitoa saavat määrätä ainoastaan trombolyysihoitoon perehtyneet lääkärit, joilla on käytettävissään hoidon seurantaan tarvittavat tilat ja välineet.;Behandling skall ske under adekvat övervakning och inledas av läkare med erfarenhet av trombolytisk behandling.
E130;Valmiste tulee antaa pahanlaatuisten veritautien solunsalpaajahoitoon perehtyneen lääkärin valvonnassa.;Preparatet bör administreras under övervakning av en läkare med erfarenhet av behandling med kemoterapi vid hematologiska maligna tillstånd.
E131;Valmistetta saa käyttää vain laskimoon annettavien bisfosfonaattien antoon perehtynyt lääkäri.;Preparatet får endast användas av specialister som har erfarenhet av intravenös administrering av bisfosfonater.
E133;Valmistetta saa käyttää vain asianmukaisen koulutuksen saanut kirurgi.;Preparatet skall användas av kirurg med tillräcklig erfarenhet.
E134;Valmistetta saavat käyttää vain ultraäänitutkimuksiin erikoistuneet lääkärit.;Preparatet skall endast användas av läkare med erfarenhet av diagnostiska ultraljudsundersökningar.
E135;Hoidon saavat aloittaa valmisteyhteenvedossa mainittuun indikaatioon perehtyneet lääkärit.;Behandling bör initieras av läkare med erfarenhet av indikation nämnd i produktresume.
E21A;Valmistetta saadaan käyttää indikaatiolla "Maanis-depressiivisen sairauden uusiutumisen esto" vain psykiatrian sekä hermo- ja mielitautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon sekä mielisairaaloissa ja mielenterveystoimistoissa sekä näiden valvomassa avohoidossa.;Preparatet får användas vid indikation "återfallsprevension vid manisk-depressiva psykoser" endast mot recept utfärdade av specialister i psykiatri samt nerv- och sinnessjukdomar och i av dem påbörjad eftervård samt i mentalsjukhus och mentalvårdsbyråer samt i av dem övervakad öppenvård.
E136;Hoito tulee aloittaa sellaisen lääkärin valvonnassa, jolla on kokemusta hyytymistekijöiden/inhibiittorien korvaushoidoista.;Behandling bör inledas under övervakning av läkare med erfarenhet av substitutionsterapi med koagulationsfaktorer/inhibitorer.
E137;Valmistetta saa antaa vain sellaisen lääkärin valvonnassa, joka on perehtynyt solunsalpaajien käyttöön syövän hoidossa.;Preparatet bör endast administreras av en läkare med erfarenhet av cytostatikabehandling.
E140;Hoidon täytyy tapahtua sellaisen lääkärin valvonnassa, joka on perehtynyt Fabryn tautia tai muita periytyviä aineenvaihduntahäiriöitä sairastavien potilaiden hoitoon.;Behandling skall övervakas av läkare med erfarenhet av behandling av patienter med Fabrys sjukdom eller andra ärftliga metaboliska sjukdomar.
E141;Hoidon tulee tapahtua vastasyntyneiden tehohoitoon perehtyneen lääkärin valvonnassa.;Behandling skall ske under övervakning av läkare med erfarenhet av intensivvård av nyfödda.
E142;Valmistetta saavat määrätä vain hyperkalsemian hoitoon perehtyneet lääkärit.;Preparatet bör endast förskrivas av läkare med erfarenhet av behandling av hyperkalcemi.
E143;Hoitoa saa antaa vain onkologiaan erikoistuneissa hoitoyksiköissä fotodynaamiseen hoitoon perehtyneen lääkärin valvonnassa.;Terapi får bara ges på onkologiska specialkliniker under överinseende av läkare med erfarenhet av fotodynamisk terapi.
E147;Valmistetta saavat määrätä vain ihotautilääkärit ja lääkärit, joilla on runsaasti kokemusta atooppisen ihottuman immunomodulatiivisesta hoidosta.;Preparatet skall endast förskrivas av dermatologer och läkare som har omfattande erfarenhet av behandling av atopisk dermatit med immunmodulerande behandling.
E150;Valmistetta saadaan markkinoida ja toimittaa 15 g / 15 ml pakkauksissa ilman lääkemääräystä ainoastaan jalkasilsan ja varpaiden välisen sienitulehduksen hoitoon.;Preparatet får marknadsföras och expedieras i 15 g / 15 ml förpackningar utan recept endast för behandling av fotsvamp och svampinfektion mellan tårna.
E151;Valmistetta tulee käyttää vaikean sepsiksen hoidossa kokemusta omaavien lääkärien toimesta vaikean sepsiksen hoitoon perehtyneissä yksiköissä.;Preparatet skall användas av läkare med erfarenhet av behandling av patienter med svår sepsis på kliniker där kvalificerad vård av sådana patienter finns tillgänglig.
E153;Valmistetta saadaan toimittaa vain erillisellä alkuperäisellä lääkemääräyksellä.;Preparatet får expedieras endast mot skilt originalrecept.
E138;Valmistetta tulee käyttää vain syövän hoitoon perehtyneen lääkärin valvonnassa.;Preparatet bör administreras under överinseende av läkare med erfarenhet av cancerbehandling.
E139;Hoito tulee aloittaa sellaisen lääkärin valvonnassa, jolla on kokemusta hemofilian hoidosta.;Behandling skall ske under övervakning av läkare med erfarenhet av behandling av hemofili.
E144;Invasiivisten sieni-infektioiden hoitoon perehtyneen lääkärin tulisi aloittaa hoito.;Preparatet bör initieras av en läkare med erfarenhet av behandling av invasiva svamp-infektioner.
E148;Valmistetta täytyy käyttää akuuttien leukemioiden hoitoon perehtyneen lääkärin valvonnassa.;Preparatet skall ges under överinseende av en läkare med erfarenhet av behandling av akut leukemi.
E152;Hoidon aloittavat onkologiaan ja/tai hematologiaan perehtyneet lääkärit ja hoito toteutetaan heidän valvonnassaan.;Behandling bör initieras och övervakas av en läkare som har erfarenhet av onkologi och/eller hematologi.
E491;Saa toimittaa vain 20 tablettia kerrallaan.;Får expedieras bara 20 tabletter åt gången.
E2D;Hum. Sairaalakäyttöön, anestesiologian erikoislääkäreiden käyttöön tai heidän valvonnassaan tapahtuvaan hoitoon. Hum. ja vet. Valmistetta saadaan toimittaa vain erillisellä alkuperäisellä lääkemääräyksellä.;Hum. För bruk i sjukhus och specialister i anestesiologi eller i av dem övervakad vård. Hum. och vet. Preparatet får expedieras endast mot skilt originalrecept.
E154;Hoidon saa aloittaa indikaatiolla "akuutti iskeeminen aivohalvaus" ainoastaan neurologiseen hoitoon erikoistunut lääkäri.;Behandling bör initieras i indikation "akut ischemisk stroke" av en läkare med särskild erfarenhet av neurologisk behandling.
E155;Hoito on aloitettava sellaisen lääkärin valvonnassa, jolla on kokemusta akromegalian hoidosta.;Behandling bör påbörjas under överinseende av läkare med erfarenhet av akromegalibehandling.
E157;Hoito tulee aloittaa aineenvaihduntahäiriöihin erikoistuneen lääkärin valvonnassa.;Behandling bör inledas under överinseende av en läkare med erfarenhet av behandling av metaboliska sjukdomar.
E158;Valmistetta saavat käyttää vain asianmukaisen kokemuksen omaavat erikoislääkärit.;Preparatet skall endast användas av specialister med erforderlig erfarenhet.
E159;Hoidon täytyy tapahtua sellaisen lääkärin valvonnassa, joka on perehtynyt mukopolysakkaridoosi I (MPS I) tai muita periytyviä aineenvaihduntahäiriöitä sairastavien potilaiden hoitoon.;Behandling bör övervakas av en läkare med erfarenhet av att behandla patienter med mukopolysackaridos I (MPS I) eller andra nedärvda metaboliska sjukdomar.
E160;Valmiste on annettava sellaisen lääkärin valvonnassa, jolla on kokemusta ennen verta muodostavien kantasolujen siirtämistä annettavasta valmisteluhoidosta.;Preparatet skall ges under övervakning av en läkare som har erfarenhet av konditioneringsbehandling före hematopoetisk stamcellstransplantation.
E163;Hoito tulee aloittaa ja sitä tulee seurata nivelreuman, psoriaasiartriitin, selkärankareuman tai psoriaasin diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av reumatoid artrit, psoriasisartrit, ankyloserande spondylit eller psoriasis.
E164;Valmistetta saa käyttää vain hemofiltraatio-, hemodiafiltraatio- ja jatkuvaan hemodialyysihoitoon perehtynyt lääkäri tai hänen valvonnassaan.;Preparatet får endast användas av en läkare som har erfarenhet av hemofiltration, hemodiafiltration och kontinuerlig hemodialysbehandling eller under övervakning av en sådan läkare.
E165;Valmiste annetaan tuberkuloosin hoitoon koulutuksen saaneen lääkärin valvonnassa.;Preparatet skall administreras under övervakning av en läkare som är utbildad för behandling av tuberkulos.
E166;Valmisteella tehtävä fotodynaaminen hoito tulisi aloittaa vain endoskooppisiin laserhoitoihin perehtyneen lääkärin toimesta tai hänen valvonnassaan.;Fotodynamisk terapi med preparatet skall endast utföras av, eller under uppsikt av, läkare med erfarenhet av endoskopisk laserbehandling.
E168;Lisämunuaissyövän hoitoon perehtyneen lääkärin tulee aloittaa hoito ja valvoa sitä, kunnes on saavutettu vakaa annostus.;Behandling av binjurebarkkarcinom bör inledas av specialist med lämplig erfarenhet tills en stabil doseringsregim har nåtts.
E169;Valmistetta saavat määrätä lääkärit, joilla on runsaasti kokemusta atooppisen ihottuman hoidosta.;Preparatet skall förskrivas av läkare som har erfarenhet av behandling av atopisk dermatit.
E170;Hoito tulee aloittaa nivelreumaan ja psoriaasiartriittiin perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras av en specialistläkare med erfarenhet av behandling av reumatoid artrit och psoriasisartrit.
E317;Hoidon aloittaa lääkäri, jolla on kokemusta rasva-aineenvaihduntahäiriöiden hoidosta, ja tällaisen lääkärin tulee myös valvoa hoitoa.;Behandling ska inledas och övervakas av läkare med särskild erfarenhet av behandling av lipidrubbningar.
E301;Valmiste annetaan syövän lääkehoitoon perehtyneen lääkärin valvonnassa.;Läkemedlet ska administreras under överinseende av en läkare med erfarenhet av behandling med antineoplastiska läkemedel.
E156;Suositellaan, että lääkettä määrää vain tarkkaavaisuus- ja ylivilkkaushäiriön (ADHD) hoitoon perehtynyt lastentautien, lastenpsykiatrian, nuorisopsykiatrian tai lastenneurologian erikoislääkäri.;Det rekommenderas, att preparatet får ordineras endast av specialister i barnsjukdomar, barnpsykiatri, ungdomspsykiatri eller barnneurologi, som har erfarenhet vid behandling av uppmärksamhets- och hyperaktivitetsstörning (ADHD).
E161;Hoito tulee aloittaa vain pulmonaalihypertension hoitoon perehtyneen lääkärin määräyksestä ja toteuttaa hänen valvonnassaan.;Behandling får endast påbörjas och övervakas av en läkare med erfarenhet av behandling av pulmonell hypertension.
E162;Hoito tulee aloittaa ja toteuttaa sellaisen lääkärin valvonnassa, jolla on kokemusta elinsiirron jälkeisestä immunosuppressiivisesta hoidosta ja joka voi seurata everolimuusin pitoisuuksia kokoveressä.;Behandling skall inledas och övervakas av en läkare med erfarenhet av immunsuppressiv behandling efter transplantationen och som kan följa upp koncentrationen av everolimus i helblodet.
E167;Hoidon tulee tapahtua solunsalpaajahoitoon perehtyneen lääkärin valvonnassa.;Behandlingen måste övervakas av läkare med erfarenhet av administration av cytostatikaterapi.
E175;Itsehoitovalmisteen toimittamiseen liitetyt ehdot: Lääkevalmistetta saa myydä ja markkinoida lasten lievän tai kohtalaisen kivun ja kuumeen oireenmukaiseen hoitoon. Tällaisia kuume-ja kiputiloja ovat mm. päänsärky, hammassärky, korvasärky, muut yleiset särky- ja kiputilat, nuhakuume, rokotuksiin liittyvät kuumeilu ja kivut. Hyväksytty annostus on 1 tabletti 17 - 24 kg:n painoisille lapsille, 1-2 tablettia 25 - 32 kg:n painoisille lapsille tai 2 tablettia 33 - 50 kg:n painoisille lapsille korkeintaan 3 kertaa vuorokaudessa. Alle 17 kg painaville lapsille ja jatkuvaan käyttöön vain lääkärin ohjeen mukaan.;Villkoren för expediering av läkemedel som kan köpas utan recept för egenvård: Preparatet får säljas och marknadsföras för symptomatisk behandling av barnens lindriga eller måttliga värk och feber. Sådana smärt- och febertillstånd är till exempel huvudvärk, tandvärk, öronvärk, andra allmänna smärt- och värktillstånd, förkylning, samt värk och feber förorsakad av vaccination. Dosering är 1 tablett för barn 17-24 kg, 1-2 tabletter för barn 25-32 kg eller 2 tabletter för barn 33-50 kg högst 3 gånger per dygn. För barn under 17 kg och för långvarigt bruk endast efter läkarens ordination.
E176;Hoito tulee aloittaa Wilsonin taudin hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör initieras under uppsikt av en läkare med erfarenhet av behandling av Wilsons sjukdom.
E178;Valmistetta saa määrätä vain pitkälle edenneen Parkinsonin taudin hoitoon perehtynyt lääkäri, joka myös seuraa hoitoa.;Användningen av preparatet är begränsad till förskrivning och kontroll av läkare som har erfarenhet av behandling av avancerad Parkinsons sjukdom.
E179;Nuorten pakko-oireisen häiriön hoidon aloituksen ja seurannan suositellaan tapahtuvan lastenpsykiatrian tai nuorisopsykiatrian erikoislääkärin toimesta.;Det rekommenderas att behandlingen av ungdomars tvångssyndrom skall inledas och övervakas av en specialist i barnpsykiatri eller ungdomspsykiatri.
E180;Itsehoitovalmisteen toimittamiseen liitetyt ehdot: Lapsille hyväksytty annostus on 1/2 tablettia / poretablettia 17 - 25 kg:n painoisille lapsille, 1/2- 1 tablettia / poretablettia 25 - 40 kg:n painoisille lapsille tai 1 tabletti / poretabletti yli 40 kg:n painoisille lapsille korkeintaan 3 kertaa vuorokaudessa. Alle 4-vuotiaille lapsille vain lääkärin ohjeen mukaan. Aikuisille hyväksytty annostus on 1 - 2 tablettia / poretablettia korkeintaan 3 - 4 kertaa vuorokaudessa, yhteensä korkeintaan 6 tablettia / poretablettia (3000 mg) vuorokaudessa.;Villkoren för expediering av läkemedel som kan köpas utan recept för egenvård: Godkänd dosering för barn är 1/2 tablett / brustablett för barn 17-25 kg, 1/2-1 tabletter / brustabletter för barn 25-40 kg eller 1 tablett / brustablett för barn över 40 kg högst 3 gånger per dygn. För barn under 4 år endast efter läkarens ordination. Godkänd dosering för vuxna är 1-2 tabletter / brustabletter högst 3-4 gånger per dygn, högst 6 tabletter / brustabletter (3000 mg) per dygn.
E184;Hoitoa saa antaa vain lääkäri, jolla on kokemusta intratekaalisesta (IT) lääkkeenannosta.;Behandling får endast utföras av läkare med erfarenhet av intratekal (IT) administrering av läkemedel.
E185;Hoidon saa aloittaa ja sitä tulee valvoa perinnöllisen tyypin 1 tyrosinemian (HT-1) hoitoon perehtynyt lääkäri.;Behandling skall inledas och övervakas av läkare med erfarenhet av behandling av HT-1-patienter.
E186;Hoidon aloittavan lääkärin tulee olla perehtynyt B- tai C-hepatiitin hoitoon.;Behandling ska enbart inledas av läkare med erfarenhet av behandling av patienter med hepatit B eller C.
E187;Valmistetta saa määrätä vain Pagetin luutaudin hoitoon perehtynyt lääkäri.;Preparatet skall endast förskrivas av läkare med erfarenhet av behandling av Pagets sjukdom.
E188;Hoito tulee aloittaa ja sitä tulee seurata nivelreuman tai psoriaasin diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av reumatoid artrit, eller psoriasis.
E189;Hoito tulee toteuttaa reumasairauksien erikoislääkärin aloittamana ja valvonnassa.;Behandling bör initieras och övervakas av specialist i reumatiska sjukdomar.
E191;Hoidon saa aloittaa vain vaikean ja jatkuvan astman diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling skall initieras av läkare med erfarenhet från diagnostisering och behandling av svår och ihållande astma.
E192;Vain radiologien tulisi käyttää tätä valmistetta.;Preparatet skall endast användas av radiologer.
E265;Injektion saa antaa tuotteen oikeaan antotapaan koulutettu ja Dupuytrenin taudin diagnoosiin ja hoitoon perehtynyt lääkäri.;Injektion ska administreras av läkare som har fått lämplig träning i korrekt administrering av produkten och med erfarenhet av diagnos och behandling av Dupuytrens sjukdom.
E289;Hoito pitää aloittaa sellaisen lääkärin valvonnassa, jolla on kokemusta lyhytsuolioireyhtymän hoidosta.;Behandling ska sättas in under tillsyn av en läkare med erfarenhet från behandling av korttarmssyndrom.
E299;Lääkevalmistetta saavat käyttää vain koulutetut hoitoalan ammattilaiset palovammoihin erikoistuneissa hoitolaitoksissa.;Medicinpreparat ska endast appliceras av utbildad hälso- och sjukvårdspersonal på specialiserade brännskadeavdelningar.
E190;Hoito aloitetaan ja sitä jatketaan lääkärin valvonnassa, jolla on kokemusta unihäiriöiden hoidosta.;Behandling bör påbörjas och övervakas av läkare med erfarenhet av behandling av sömnstörningar.
E311;Hoidon aloittaa ja sitä valvoo aluksi immuunipuutosten hoitoon perehtynyt lääkäri.;Behandling ska påbörjas och inledningsvis övervakas under tillsyn av en läkare med erfarenhet av behandling av immundefekter.
E318;Hoidon saa aloittaa nivelreuman, yleisoireisen lastenreuman tai polyartriitin diagnosointiin ja hoitoon perehtynyt lääkäri. Kaikille tätä lääkehoitoa saaville potilaille tulee antaa potilaskortti.;Behandling ska initieras av sjukvårdspersonal med erfarenhet av diagnos och behandling av RA, sJIA eller pJIA. Alla patienter som behandlas med det här läkemedlet ska få ett särskilt patientkort.
E329;Hoito tulee aloittaa ja toteuttaa nivelreuman ja CAPS-oireyhtymien diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av en specialistläkare som har erfarenhet av diagnostisering och behandling av reumatoid artrit respektive CAPS.
E338;Valmistetta saa määrätä vain syöpäpotilaiden hoitoon perehtynyt lääkäri ja sitä saa antaa vain syöpäpotilaiden hoitoon perehtyneen terveydenhuollon ammattilaisen valvonnassa.;Preparatet ska endast förskrivas av läkare och administreras under överinseende av sjukvårdspersonal med erfarenhet av behandling av cancerpatienter.
E370;Valmistetta saa antaa vain anestesia- tai tehohoitokoulutuksen saanut ammattihenkilö.;Denna produkt skall endast administreras av sjukvårdspersonal med tillräcklig erfarenhet i anestesiologi eller intensivvård.
E387;Hoito on aloitettava sellaisen lääkärin valvonnassa, jolla on kokemusta harvinaisten verenvuotosairauksien hoidosta.;Behandlingen bör sättas in under överinseende av läkare med erfarenhet av behandling av sällsynta blödningsrubbningar.
E388;Vain sairaalakäyttöön tai ensihoitoyksiköiden käyttöön. Valmistetta saa määrätä vain anestesiologiaan tai akuuttilääketieteeseen asianmukaisesti perehtynyt lääkäri. Valmistetta saa toimittaa vain erillisellä alkuperäisellä lääkemääräyksellä.;Endast för sjukhusbruk eller prehospital akutsjukvård. Preparatet skall endast förskrivas av läkare med erforderlig erfarenhet av anestesiologi eller akutmedicin. Preparatet får expedieras endast mot skilt originalrecept.
E398;Spinraza-hoidon saa aloittaa vain lääkäri, joka on perehtynyt spinaalisen lihasatrofian hoitoon.;Behandling med Spinraza ska endast sättas in av läkare med erfarenhet av behandling av spinal muskelatrofi.
E401;Valmiste on tarkoitettu vain autologiseen käyttöön. Sitä saa antaa asianmukaisesti koulutettu lääkäri sairaalassa tai vastaavassa laitoksessa.;Preparatet är endast avsett för autolog användning. Det måste administreras av en läkare med lämplig kompetens och på en vårdinrättning.
E402;Hoito tulee aloittaa ja suorittaa silmätautien erikoislääkärin tai pätevän silmätauteihin perehtyneen terveydenhuollon ammattilaisen valvonnassa.;Behandling bör initieras och övervakas av en oftalmolog eller annan hälso- och sjukvårdspersonal med behörighet inom oftalmologi.
E236;Talidomidihoito on aloitettava ja sitä on seurattava sellaisten lääkärien valvonnassa, joilla on asiantuntemus immunomodulatoristen lääkeaineiden tai solunsalpaajien käytöstä ja jotka ymmärtävät täysin talidomidihoitoon liittyvät vaaratekijät ja seurantavaatimukset (ks. SPC, kohta 4.4). Lääkkeen määrääminen ja toimittaminen naisille, jotka voivat tulla raskaaksi, on rajoitettu 30 päivän lääkitykseen yhdellä reseptillä, ja hoidon jatkaminen vaatii uuden lääkemääräyksen. Naisille, jotka voivat tulla raskaaksi, kirjoitettu lääkemääräys on voimassa seitsemän (7) päivää lääkemääräyksen kirjoittamisesta.;Talidomidbehandling måste sättas in och kontrolleras under överinseende av läkare med kunskaper om användning av immunmodulerande eller kemoterapeutiska substanser och som har full insikt om riskerna med talidomidbehandling samt övervakningsbehov (se SPC, avsnitt 4.4). Förskrivning och expediering av läkemedlet åt fertila kvinnor begränsas till behandling för 30 dygn med ett och samma recept, och fortsatt behandling förutsätter ett nytt recept. Recept som utfärdats åt fertila kvinnor är i kraft i sju (7) dygn från och med förskrivningsdatum.
E410;Valmiste on tarkoitettu ainoastaan sairaalakäyttöön. Vain verisuoniin kohdistuvaan fotodynaamiseen hoitoon (Vascular-Targeted Photodynamic) koulutettu henkilöstö saa käyttää sitä.;Preparatet får endast användas på sjukhus. Det får endast användas av personal som utbildats i VTP-behandlingen ("Vascular-Targeted Photodynamic therapy").
E411;Valmiste on tarkoitettu käytettäväksi käyttöaiheessa mainitun sairauden diagnosointiin ja hoitoon perehtyneen lääkärin ohjauksessa ja seurannassa.;Preparatet är avsett att användas under vägledning och övervakning av läkare med erfarenhet från diagnostik och behandling av den godkända indikationen.
E413;Hoidon aloittavalla lääkärillä on oltava kokemusta eosinofiilisen esofagiitin diagnosoinnista ja hoidosta.;Behandlingen ska inledas av läkare med erfarenhet av diagnostik och behandling av eosinofil esofagit.
E415;Valmistetta voi antaa ainoastaan erikoislääkäri, jolla on kokemusta tällä valmisteella hoidettavaksi tarkoitettujen sairauksien diagnosoinnista ja hoidosta.;Preparatet ska endast administreras av en specialistläkare som har erfarenhet av diagnostik och behandling av sjukdomen som behandlas med det här preparatet.
E416;Valmiste on tarkoitettu vain autologiseen käyttöön. Sitä saa antaa ortopedian erikoislääkäri sairaalassa tai vastaavassa laitoksessa.;Preparatet är endast avsett för autolog användning. Det måste administreras av en specialist i ortopedi och på en vårdinrättning.
E417;CAR-T-soluhoito annetaan kvalifioidussa hoitokeskuksessa hematologisten syöpien hoitoon perehtyneen ja CAR-T-soluhoitojen antamiseen koulutetun lääkärin ohjauksessa ja valvonnassa. Ennen infuusiota on sytokiinioireyhtymän varalta oltava saatavilla vähintään neljä tosilitsumabiannosta ja ensiapuvälineet.;CAR T-cellterapi måste administreras på ett kvalificerat behandlingscenter. Behandlingen ska initieras och övervakas under ledning av läkare som har erfarenhet av behandling av hematologiska maligniteter och som tränats i att administrera och hantera patienter som behandlats med CAR T-cellterapi. Minst fyra doser tocilizumab, för användning i händelse av cytokinfrisättningssyndrom, samt akututrustning måste finnas tillgängligt innan infusionen.
E300;Lähetteen florbetapiirilla [18F] tehtävään PET-kuvaukseen antaa lääkäri, jolla on kokemusta neurodegeneratiivisten sairauksien kliinisestä hoidosta.;En PET-skanning med florbetapir (18F) bör endast ordineras av läkare utbildade i klinisk behandling av neurodegenerativa sjukdomar.
E305;Valmisteen käyttövalmiiksi saattavalla ja antavalla silmälääkärillä pitää olla kokemusta silmän lasiaiseen annettavista injektioista.;Preparatet måste tillredas och administreras av en utbildad oftalmolog med erfarenhet av intravitreala injektioner.
E308;Hoidon saa aloittaa Alzheimerin dementian diagnosointiin ja hoitoon perehtynyt lääkäri, jonka tulee valvoa sitä. Hoito tulee aloittaa vain, mikäli potilaalla on hoitaja, joka valvoo potilaan lääkkeen ottamista säännöllisesti.;Behandlingen ska inledas och övervakas av en läkare med erfarenhet av diagnostik och behandling av Alzheimers demens. Terapin ska endast startas om det finns en vårdare som regelbundet övervakar patientens läkemedelsintag.
E309;Hoito tulee toteuttaa indikaation mukaiseen hoitoon perehtyneen lääkärin aloittamana ja valvonnassa. Hoitoa saaville potilaille tulee antaa erityinen potilaskortti.;Behandling med preparatet bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av tillstånd där preparatet är indicerat. Patienter som behandlas med preparatet skall ges ett speciellt patientkort.
E310;Hoito tulee toteuttaa idiopaattisen juveniili polyartriitin diagnosointiin ja hoitoon perehtyneen lääkärin aloittamana ja valvonnassa. Hoitoa saaville potilaille tulee antaa erityinen potilaskortti.;Behandling med preparatet bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av polyartikulär juvenil idiopatisk artrit. Patienter som behandlas med preparatet skall ges ett speciellt patientkort.
E315;Hoidon saa aloittaa vain lääkäri, jolla on kokemusta osteoporoosin hoidosta.;Behandlingen skall endast påbörjas av en läkare med erfarenhet av behandling av osteoporos.
E328;Lääkehoito on aloitettava ja toteutettava verisairauksien tai kroonisen C-hepatiitin ja sen komplikaatioiden hoitoon perehtyneen lääkärin valvonnassa.;Läkemedels behandlingen bör initieras och fortgå under övervakning av en läkare med erfarenhet av behandling av hematologiska sjukdomar eller behandling av kronisk hepatit C och dess komplikationer.
E336;Hoito on aloitettava ja toteutettava käyttöaiheissa mainittujen sairauksien diagnosointiin ja hoitoon perehtyneen erikoislääkärin seurannassa.;Behandling ska initieras och övervakas av specialistläkare med erfarenhet av diagnostisering och behandling av de sjukdomstillstånd som preparatet är indicerat för.
E351;Hoidon saa aloittaa lääkäri, jolla on kokemusta infantiilin hemangiooman toteamisesta ja hoidosta, kontrolloidussa hoitoympäristössä, jossa on käytettävissä riittävä varustus haittavaikutusten hoitoon silloinkin, kun kiireelliset toimet ovat tarpeen.;Behandling ska initieras av läkare som har kompetens inom diagnostik, behandling och handläggning av infantila hemangiom, i en kontrollerad klinisk miljö där lämplig utrustning för hantering av biverkningar, inklusive sådana som kräver akuta åtgärder, finns tillgänglig.
E374;Hoito on annettava käyttöaiheessa mainitun sairauden diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa. Valmisteen saa antaa vain koulutettu terveydenhuollon ammattilainen, joka osaa hoitaa hätätapauksia.;Behandling bör övervakas av en läkare med erfarenhet av diagnostik och behandling av sjukdomen som omfattas av indikationen. Preparatet bör administreras av utbildad sjukvårdspersonal som kan hantera medicinska akutfall.
E384;Valmistetta saavat määrätä vain kystisen fibroosin hoitoon perehtyneet lääkärit.;Preparatet bör endast förskrivas av läkare med erfarenhet av att behandla cystisk fibros.
E389;Hoidon aloittavan ja sitä valvovan lääkärin pitää olla perehtynyt nivelreuman, nivelpsoriaasin, selkärankareuman, röntgennegatiivisen aksiaalisen spondylartriitin tai haavaisen koliitin diagnosointiin ja hoitoon.;Behandling ska initieras och övervakas av specialistläkare med erfarenhet av att diagnostisera och behandla reumatoid artrit, psoriasisartrit, ankyloserande spondylit, icke-radiografisk axial spondylartrit eller ulcerös kolit.
E392;Valmistetta saavat määrätä vain käyttöaiheessa mainitun sairauden diagnosointiin ja hoitoon perehtyneet lääkärit.;Preparatet ska endast förskrivas av en läkare som har erfarenhet av diagnostik och behandling av sjukdomen som omfattas av indikationen.
E396;Hoito pitää toteuttaa hemofilian hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen bör övervakas av en läkare med erfarenhet av behandling av hemofili.
E382;Valmistetta saa antaa vain hoitoalan ammattilainen.;Preparatet ska endast administreras av hälso- och sjukvårdspersonal.
E294;Valmiste on annettava syöpälääkkeiden käyttöön perehtyneen lääkärin valvonnassa.;Preparatet ska administreras under överinseende av läkare med erfarenhet av användning av läkemedel mot cancer.
E296;Hoitoa saa määrätä ja antaa vain lääkäri, jolla on kokemusta lipoproteiinilipaasin puutosta sairastavien potilaiden hoidosta ja geenihoidon antamisesta, ja hoidosta on keskusteltava potilaan kanssa perusteellisesti.;Behandling med medicinpreparat måste ordineras av och administreras under överinseende av en läkare med expertis i att behandla LPLD-patienter och genterapiadministrering, i fullt samråd med patienten.
E306;Hoito tulee aloittaa tilanteesta riippuen hematologista syöpäsairautta sairastavien potilaiden hoitoon perehtyneen lääkärin toimesta.;Behandling skall lämpligen inledas av läkare med erfarenhet av behandling av patienter med hematologiska maligniteter.
E326;Hoito on aloitettava MS-potilaiden hoitoon perehtyneen neurologin valvonnassa.;Behandling bör initieras och övervakas av en neurolog med erfarenhet av behandling av MS-patienter.
E339;Valmistetta saavat antaa vain radioaktiivisten aineiden käsittelyyn valtuutetut henkilöt tähän tarkoitukseen varatuissa tiloissa sen jälkeen, kun pätevä lääkäri on tutkinut potilaan.;Preparatet ska endast administreras av personer som har behörighet att hantera radiofarmaka, i ändamålsenliga lokaler. Patienten ska ha genomgått en utvärdering av en behörig läkare.
